id	centroid	lumen_area	lumen_peri	lumen_aoma_rad	lumen_diam_rad	lumen_diam_tang	cell_area	cw_peri	CWT_pith	CWT_left	CWT_right	CWT_bark	cluster
74	(1713, 136)	1508.9561217954938	152.9314219689054	120.80056762695312	46.29537223170452	48.16650689897312	1833.9187641910382	183.25991189427313	7.333952	10.669925	9.012226	7.3635793	13
75	(1719, 42)	1447.8254963224592	150.56464504040287	175.2867431640625	53.03139045580263	38.43405380699722	1814.3181509441285	181.4977973568282	12.133217	6.620166	10.607225	7.781412	13
76	(1674, 318)	749.0927438917892	108.92283401825354	88.1926498413086	28.218163311262437	37.87698469297012	1116.8468241184576	147.136563876652	9.199945	29.404007	11.325404	7.224351	2
77	(1644, 481)	610.141861864193	110.92466499311809	2.29659366607666	51.92280512442868	19.001465427146112	777.6203691125386	129.51541850220264	9.308334	10.057151	0.0	7.861268	2
78	(1644, 410)	1987.7156552620854	175.29686337525624	4.680680274963379	64.78460414558171	43.18756415445218	2425.0422092413983	217.62114537444933	11.199606	11.332423	9.461964	10.672102	2
79	(1578, 482)	108.4826020299249	42.20219798025055	86.53791046142578	9.078549114376749	17.680948213058212	208.62038851908633	64.31718061674009	7.8397956	17.605532	3.7050095	9.315045	2
80	(1627, 223)	1521.5703778454852	160.19366050081632	178.95448303222656	67.27687929876328	33.82418952262474	2180.1315763938755	207.9295154185022	22.104532	9.845547	31.694193	12.160649	13
81	(1601, 322)	976.9256147024006	121.89897661167095	84.34149932861328	35.919336669651834	36.93953771054483	1495.66263657358	174.44933920704847	14.658546	33.447502	14.116844	9.471718	2
82	(1568, 414)	168.1577364202682	72.99492700509563	94.46487426757812	6.3692043842232255	33.984066969025704	388.32502086203885	107.48898678414096	8.609332	19.452887	16.993614	9.110656	2
83	(1606, 138)	1940.6547769217334	176.15958137134098	0.5634922981262207	62.19760430316452	45.32084166630497	2395.932387587572	221.14537444933922	15.497716	10.841472	9.186316	7.983661	13
84	(1550, 218)	46.575714646121604	39.0429148064836	101.41947174072266	3.5790498173520264	12.853824259944272	220.26431718061676	82.81938325991189	14.581959	25.71947	25.778282	10.331422	13
85	(1549, 329)	135.74880164567526	62.63602005752698	102.00462341308594	6.02414436924278	21.433860510732792	429.6609676104718	116.29955947136564	13.796819	44.1776	22.217022	10.160936	2
86	(1540, 165)	13.584583438452134	17.469979802942486	98.99421691894531	2.4052927061621445	8.022861938432362	122.26125094606921	54.62555066079295	16.820267	20.804588	31.012325	10.351813	13
87	(1534, 114)	15.040074521143435	18.244146933114475	87.20362091064453	3.1544351693800388	8.888064323212381	126.7247569329892	53.74449339207048	16.011944	26.681808	23.745787	10.037845	13
88	(1544, 482)	222.30200469638456	58.3818992854215	73.64937591552734	16.64097868007768	21.354013207672306	328.74691921054165	77.5330396475771	6.4467864	13.767001	0.0	8.380323	2
89	(1591, 43)	1994.993110675542	179.96020542892592	177.5034942626953	67.62035802964289	41.42503033054367	2522.8512099982536	225.55066079295153	19.94769	4.1518435	10.858234	13.914854	13
90	(1529, 229)	114.69269731607444	56.36172903791923	101.6826400756836	5.838541081548405	21.125156509649205	473.9078965242873	117.1806167400881	13.737022	25.866676	50.597523	18.788435	13
91	(1536, 415)	442.37225639930915	88.46307578065847	96.76532745361328	16.866689188918226	34.818418922178616	683.8867433872189	125.99118942731278	7.6495743	18.653133	16.120298	8.553808	2
92	(1522, 325)	141.66779871528655	60.464684186002756	103.21694946289062	6.975391435370707	20.415838311549624	458.7707892642978	117.1806167400881	15.007199	47.17404	17.696398	13.18136	2
93	(1514, 140)	134.19627782413787	70.86786656652778	94.7339859008789	4.994705456649208	32.60306171407225	516.4082361388732	122.4669603524229	16.597929	28.593184	27.686272	23.092178	16
94	(1513, 369)	77.43212559917717	33.454240051135095	5.8501811027526855	12.059802292532988	8.409255851618903	181.2571561644899	74.00881057268722	13.484367	14.790027	9.476263	18.473806	2
95	(1506, 47)	147.39273030720565	61.75496278880451	101.18518829345703	6.85018498064758	23.07474405682481	478.7595334665916	114.53744493392071	15.940361	41.04154	28.725143	12.569331	13
96	(1498, 224)	251.70292456674883	71.55348283078702	97.73806762695312	10.661037907771078	30.814323542114547	651.477808612626	131.27753303964758	11.855629	26.055527	48.220943	13.710327	13
97	(1498, 415)	328.1647227774651	82.55373055714342	101.6811752319336	11.820914326223543	32.13661407472026	537.5613732073201	119.8237885462555	7.488121	16.697351	14.620126	6.6031685	2
98	(1501, 482)	252.0910555221332	63.410187187698966	51.11377716064453	19.193113009436242	20.555062302133646	357.4686099089833	86.34361233480176	7.95856	12.813437	0.0	7.6040187	2
99	(1488, 331)	276.7373711890392	69.27525682071231	97.69842529296875	14.591836978952822	26.776445955175117	651.8659395680103	124.22907488986785	14.86646	49.062115	20.85061	14.363238	2
100	(1482, 134)	242.58184711521668	73.98287435985347	93.26657104492188	9.322877649995833	35.06082985395259	633.2356537095616	119.8237885462555	16.00347	28.566576	27.446344	16.457077	15
